RIC,Monthly Return,Financial report,SDI
2162.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010203012.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0919/2023091901016.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042400357.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2162&src=MAIN&lang=EN&g_lang=en
2273.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400571.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0922/2023092200416.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0419/2023041900397.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2273&src=MAIN&lang=EN&g_lang=en
2362.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010401462.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0927/2023092701154.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0428/2023042803757.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2362&src=MAIN&lang=EN&g_lang=en
2416.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010401291.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0925/2023092500317.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0515/2023051500005.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2416&src=MAIN&lang=EN&g_lang=en
2469.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400800.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0920/2023092000412.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0425/2023042501065.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=2469&src=MAIN&lang=EN&g_lang=en
3383.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010202847.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0915/2023091500282.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0421/2023042100483.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=3383&src=MAIN&lang=EN&g_lang=en
3668.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400609.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0919/2023091900331.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042600831.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=3668&src=MAIN&lang=EN&g_lang=en
3888.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010301481.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0921/2023092100993.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042601781.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=3888&src=MAIN&lang=EN&g_lang=en
3900.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0105/2024010501662.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0922/2023092201088.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0427/2023042704866.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=3900&src=MAIN&lang=EN&g_lang=en
3918.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010200295.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0824/2023082400640.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0323/2023032300436.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=3918&src=MAIN&lang=EN&g_lang=en
3958.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0103/2024010300605.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0921/2023092100270.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0417/2023041700375.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=3958&src=MAIN&lang=EN&g_lang=en
6889.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400559.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/1207/2023120700367.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0531/2023053100538.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/10/2023&sced=31/12/2023&sc=6889&src=MAIN&lang=EN&g_lang=en
9636.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010200203.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0920/2023092000045.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042600589.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=9636&src=MAIN&lang=EN&g_lang=en
9858.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010201466.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0913/2023091300315.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0424/2023042401665.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=9858&src=MAIN&lang=EN&g_lang=en
9860.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0104/2024010400565.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0925/2023092500299.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0619/2023061900005.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=9860&src=MAIN&lang=EN&g_lang=en
9923.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0105/2024010500554.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0928/2023092800741.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0426/2023042601847.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=9923&src=MAIN&lang=EN&g_lang=en
9930.HK,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0102/2024010201448.pdf,"https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0904/2023090400063.pdf
https://www1.hkexnews.hk/listedco/listconews/sehk/2023/0512/2023051200007.pdf",https://di.hkex.com.hk/di/NSSrchCorpList.aspx?sa1=cl&scsd=01/07/2023&sced=31/12/2023&sc=9930&src=MAIN&lang=EN&g_lang=en
